section,quote,themes,notes
L,I [Aeneas] saw Neoptolemus in an orgy of killing,HOR,
L,[Polites] vomited his life’s blood before their [Priam and Hecuba’s] eyes,HOR,
L,[Priam told Pyrrhus that he had] defiled a father’s face with the murder of his son,HOR;PER,
L,"There was no escape for Priam, death was now upon him",HOR,
L,"[Priam] buckled his armour long unused on shoulders trembling with age, girt on his feeble sword",VAL;FUT,
L,[Priam] feebly threw his harmless spear,VAL;FUT,
L,[Pyrrhus dragged Priam] his body trembling as it slithered through pools of his son’s blood,HOR;FUT,
L,"So ended the destiny of Priam … his mighty trunk lay upon the shore, the head hacked from the shoulders, a corpse without a name.",FAT;FUT;LEG,
L,"[Hecuba and her daughters] were sitting flocked around the altar, like doves driven down in a black storm … vainly embracing the images of the gods.",FUT;INN,
L,"[where Hecuba and her daughters were sheltering] under the naked vault of heaven, there stood an ancient laurel tree, enfolding the household gods in its shade",INN,
L,"The maiden daughter of Priam, Cassandra, dragged from her very sanctuary, with her hair streaming and burning eyes raised to heaven",HOR;FUT;INN,
E,[Cassandra’s] prophetic frenzy,FAT,
E,The two serpents seized [Laocoon’s] two young sons … feeding on their helpless limbs,FAT;INN,
E,Entwined twice round his body and twice round his throat … his priestly ribbons befouled by gore and black venom … [Laocoon was] raising horrible cries to heaven,FAT,
E,The two snakes escaped … making for the citadel of heartless Pallas,FAT,
E,God had willed that these were lips Trojans would never believe,FAT;FUT,
L,"Rest, the most grateful gift of the gods",FAT,
E,[The Greeks built the Trojan Horse] with the aid of the divine skill of Pallas Athene,FAT,
E,The King of high Olympus does not allow it [Aeneas escaping with his wife Creusa],FAT,
E,[Sinon was] ready with all his Greek arts and stratagems,MOR,
E,The trap was laid. These were the arts of the liar Sinon.,MOR,
E,"Listen now to this story of Greek treachery and from this one indictment, learn the ways of a whole people.",MOR,
E,This was the cruellest thing I saw in all the sack of the city [losing Creusa],HOR;INN;PER,
E,"Grief-stricken I called [Creusa’s] name … again and again, but there was no answer",HOR;INN;PER,
L,"We were swept along in the fighting, Iphitus and Pelias with me. Iphitus was no longer young and Pelias and been slowed by a wound",VAL;FUT,
L,Rolling down on the heads of their enemies the gilded beams and richly ornamented ceilings of their ancestors.,HOR;LEG,
E,The last agony of Troy,HOR,
E,Who could speak of such slaughter? Who could weep tears to match that suffering? No man could speak of such things [destruction of Troy] and not weep.,HOR,
E,Everywhere there was fear and death in many forms.,HOR,
E,Why do you choose to give yourself to such wild grief?,PER,Creusa’s apparition to Aeneas
E,Wipe away the tears you are shedding for Creusa whom you loved,INN;PER,
E,"Three times her phantom melted in my arms, weightless as the wind",PER,
L,Greeks were cut down in their hour of triumph,HOR;VAL,
E,I longed in my anger to avenge my country [by taking revenge on Helen] … how should Helen get to see her native Mycene?,MOR;INN,
E,"O Queen, the sorrow you bid me bring to life is beyond all words",HOR,
E,I shudder to remember,HOR,
E,"All the horrors I have seen, and in which I played a large part",HOR,
E,Some hostile power confused me and robbed me of my wits [when Creusa disappeared],FAT,
L,Is this treachery or courage? Who would ask in dealing with an enemy?,MOR,
E,I shall win praise for blotting out this evil [Helen] and exacting a punishment which is richly deserved,MOR;INN,
E,"It is not the hated beauty of the Spartan woman … that is … laying low the topmost towers of Troy, nor is it Paris.",MOR,
L,The clamour struck the golden stars,HOR,
L,"Down fell those fifty bedchambers, the so great hope of future generations, the doorposts proud with spoils and barbarian gold.",HOR;LEG,
L,Guided by godheads not our own,VAL;FAT,
L,"We joined many battles, we fought through the blind night, and sent many Greeks down to Orcus.",HOR;VAL,
L,"Rage and anger drove my mind headlong, and it seemed to me a beautiful thing to die in arms.",VAL,
L,"Mindlessly I grabbed my weapons, and nor was there enough reason in arms.",VAL,
L,"Enough has been given to your country and to Priam: if Troy could have been defended by deeds of war, it would have been by mine.",,
L,"Alas, what a sight he was! How changed from that Hector who returned wearing the spoils of Achilles and hurled Trojan fire at the ships of the Greeks!",HOR;FUT,
L,"Nor did your extreme devotion, Panthus, nor your knitted headband of Apollo protect you as you fell.",FAT,
L,My spirit was restored to bring help to the king’s palace and to relieve our men with my support and to add strength to the conquered.,VAL,
L,"[Seeing the seizing of Cassandra] Coroebus threw himself into the column of men, intending to die.",PER,
L,"Achilles ... respected my rights and trust as a suppliant, and returned the bloodless body of Hector for burial, and returned me to my kingdom.",,
E,"[Sinon] was ready for either outcome, to spin his web, or to meet certain death if he failed.",MOR,
E,"We spared him [Sinon], and even began to pity him. Priam spoke first ... [Sinon] will be one of us.",MOR,
E,The engine of Fate mounted our walls.,FAT;FUT,The Trojan Horse
E,"This was the last day of a doomed people and we spent it adorning the shrines of the gods",FAT;FUT,
E,"Pitiless Jupiter has given everything over to Argos ... Sinon is in triumph, spreading the flames and gloating over us.",MOR;FAT,
E,"Only the first few guards on the gates are trying to fight and offering blind resistance.",VAL,
E,"The grim fury of war called me.",VAL,
E,"These words added madness to their courage. From that moment, like wolves foraging blindly on a misty night ... leaving their young behind ... we ran the gauntlet of the enemy to certain death.",VAL;MOR;HOR,"Aeneas adding madness to the rage of the Trojans. Lack of pietas in abandoning families for futile effort?"
L,"Fortune gave us a fair wind for our first efforts",FAT,
L,"But no man can put trust in gods who are opposed to him.",FAT;FUT,
L,"It was as though a whirlwind had burst and opposing winds were clashing.",,Greek soldiers charging after the rescue of Cassandra
L,"I call to witness the ashes of Troy. I call upon the flames in which my people died. In the hour of your fall I did not flinch from the weapons of the Greeks or from anything they could do. If it had been my fate to fall, my right hand fully earned it.",VAL,
L,Pyrrhus pressed on with the violence of his father,HOR,
L,"[Hecuba to Priam] This is madness. Why have you put on this armour? Where can you go? This is not the sort of help we need. Your are not the defender we are looking for ... this altar will protect us all, or you will die with us.",VAL;FUT;INN,
E,"Neptune has loosened the foundations with his great trident and is shaking the walls, tearing up your whole city from the place it is set.",FAT;FUT,Venus speaking to Aeneas
E,"I seemed to see the whole of Ilium settling into the flames and Neptune's Troy toppling over from its foundations like an ancient ash tree",HOR,
E,"I rushed to take up arms again in complete despair. Death was the only thing I could hope for.",VAL,Aeneas after Anchises tells him that he will not abandon Troy.
E,"Let me go back and rejoin the battle. Today we die. But not all of us shall die unavenged.",VAL,Aeneas calling out to Venus to defy her order to escape the city.
E,"So anxious was I, so afraid both for the man I carried [Anchises] and the child [Iulus] at my side.",,Pietas
E,"I saw the dreadful vision of the gods in all their might, the enemies of Troy.",FAT;FUT,
E,"Let us die ... the one safety for the defeated is to have no hope of safety",VAL;FUT,
E,“Whatever [the Trojan Horse] is, I am afraid of Greeks, particularly when they bring gifts … With these words he threw a great spear with all his strength into the beast’s side.”,,

