section,quote,themes,notes
13,The defiance of Agrippina … blazing with all the desires of her evil domination,POW,
13,[the first death was] contrived … through Agrippina’s guile,POW,
13,"Nero, who had scarcely left boyhood and had acquired his command through crime [the murder of Claudius]",INC;PER;MAN,
13,"There should be someone of settled years, guiltless, noble",INC,(i.e. Nero was not)
13,The slipperiness of the princeps’s age,INC,
13,Claudius had destroyed himself with his incestuous wedding and ruinous adoption,,
13,"“With no less speed [than the Silani brothers], Narcissus … was driven to death",POW,
13,Nero was the first to have needed someone else’s fluency,INC,(+comparison to previous emperors: paraphrase this)
13,"Nero … diverted his lively mind to other things: engraving, painting, practicing songs or his control of horses; and sometimes in the composing of poems he showed that he had elements of learning",INC,
13,"... had not Seneca, with everyone else transfixed in panic, warned him to go meet his advancing mother.",INC;POW,
13,When the imitations of sadness had been performed [by Nero at Claudius’ funeral],IMM,
13,"The fathers, who kept being called to the Palatium, precisely so that she [Agrippina] might attend, separated by a screen … which would block their vision but not bar her hearing.",POW;CUN,
13,She was preparing to mount the Commander’s dais and preside next to him,POW,
13,Nero had slipped into love with a freedwoman … Acte,IMM,
13,He recoiled from his wife … it was dreaded that he might erupt into unlawful sex with illustrious ladies,IMM,
13,He [Nero] cast off all compliance towards his mother,,
13,Agrippina .. approached her young son … and offered her own bedroom and lap,POW;PER;MAN,
13,Being now unreasonably submissive as she had recently been excessive in restraining her son,POW;PER;MAN,
13,"Agrippina declared that … she was being kept from everything else, and her son was dividing up possessions which he derived entirely from herself",,
13,Agrippina rushed headlong into terror and threats,POW;MAN,
13,"She had no objection, she said, if all the ills of the unhappy house were revealed … she would go with him to the camp",POW;MAN;CUN,
13,"Nor did she exempt the ears of the princeps from her testimony that Britannicus was now mature, the true and worthy stock for undertaking his father’s command, which an adopted scion was exercising through the injustices of his mother",POW;PER;MAN,
13,Disturbed … by the fact that on an approaching day Britannicus would complete the fourteenth year of his life … [he] had nevertheless earned him[self] widespread goodwill,INC,
13,[Nero was] thereby hoping for ridicule of a boy [Brit.],IMM,
13,"In Agrippina’s case, such panic, such mental shock flashed out, despite her attempt to suppress them in her look, that it was agreed that she had been as unaware as Octavia",,
13,"He made his house separate and transferred his mother to that which had been Antonia’s, whenever he paid a personal visit there … [he withdrew] after only a brief kiss",,
13,Under pressure from Agrippina’s threats,POW;MAN,
13,"Nero had sported with Britannicus' boyhood, so that now his death could be seen as neither premature nor savage",IMM,
13,"The speed of the exequies Nero defended in an edict, referring to the fact that it was an established custom of their ancestors",IMM,
13,"He, for his part, reclining and apparently unwitting, said that this [the poison-induced seizure] was usual, owing to the epileptic illness with which Britannicus had been afflicted",IMM,
13,No less distinctive in that year was the immorality [affair with Poppaea] which marked the beginning of massive calamities for the state,IMM,
13,This woman [Pop.] had everything except honourableness,,
13,"Poppaea first achieved influence by means of skillful blandishments … soon, with the princeps’ love now fierce, she changed to haughtiness",MAN,
13,She said in him she saw things deserving of the highest fortune; whereas Nero … had derived nothing from his servile cohabitation,INC;MAN,
13,She would transfer her lust wherever advantage showed,MAN,
14,Aggrippina was so carried away by the fervour of retaining her powerfulness … she offered herself to him … smartly made up and prepared for incest,POW;PER;MAN,
14,In her girlhood years had committed illicit sex with Lepidus,POW;PER,
14,[her] reckless kisses and blandishments which heralded outrage,POW;PER;MAN,
14,[Poppaea urged him to extract himself from his mother’s grasp with] such penetrating words as these,MAN,
14,"Finally, deeming her overburdensome wherever she was, he decided to kill her",IMM,
14,"There he lured his mother, insisting that the rages of parents should be borne and tempers calmed – all so that he might produce a rumour of reconciliation",IMM,
14,"But there, blandishments removed her dread, after her affable reception and being placed above [Nero]",IMM,
14,"Nero escorted her on departure, fastening particularly closely upon her eyes and breast … to complete his pretense",IMM;PER,
14,Summoned by a treacherous letter,IMM,
14,Nor did the detachment of the vessel follow … even the accomplices were impeded by the numbers of the ignorant … there was no ready agreement among themselves [the rowers].,INC,
14,She had personally fortified her body by taking prophylactic remedies.,CUN,
14,"Reflecting there that she had been deliberately summoned by a treacherous letter and had been the principal recipient of honour, and how it was next to the shore, not driven by winds or dashed on rocks, that her ship had collapsed from the uppermost part like a terrestrial device, observing too the execution of Acerronia, and at the same time looking at her own wound, she realised that her only remedy against subterfuge was to seem not to understand it",CUN,
14,"Thereupon, choking with panic, he claimed that she would soon – soon! – be here, hurrying for vengeance",MAN,
14,"What would be his defence against her, unless Burrus and Seneca came up with something?",INC,
14,"Breaking down the entrance, [Anicetus] seized any slaves … the rest having been terrified away by the terror of the men breaking in.",,
14,The assailants surrounded her bed, and initially the trierarch struck her head with his cudgel; and as the centurion was already drawing his sword for death, she proffered her womb, crying out, \'stab my belly!\', and with many wounds she was dispatched.,IMM,
14,"[he] sent a letter to the senate, of which the essence was that the assailant Agerinus, from Agrippina’s most intimate freedmen, had been discovered with a sword and that she had paid the penalty in conscience at the crime which she had arranged.",IMM,
14,...that she had hoped for praetorian cohorts to swear allegiance to a female.,POW,Tacitus references her desire for power sarcastically
14,"By what effort of his own had it been achieved that she did not burst into the curia, nor issue replies to foreign peoples.",POW,Tacitus references her desire for power sarcastically
14,But who could be found so dull as to believe that it had been a chance occurrence? Or that a shipwrecked woman had sent a single man with a weapon to break the cohorts and fleets of the Commander?,INC,
14,Nearest municipalities in Campania testified to their delight … the man himself being sorrowful with the opposite pretense.,,
14,There were decrees … that Agrippina’s birthday should be included among the disqualified days.,,
14,All the basest people … said that Agrippina’s name was resented and the people’s goodwill fired by her death.,,
14,"For the remainder of the night, sometimes transfixed in silence, but more often rising in panic and devoid of reason, he awaited the dawn as if it would bring his extermination.",MAN,
14,"He tarried in the town of Campania, tense as to the precise manner in which he should go into the City, and whether he would discover compliance from the senate or enthusiasm from the plebs.",,
14,"Nor while Nero was in charge of affairs, was the earth [Agrippina’s burial site] piled up or encased.",IMM;PER,

